genre,popularity,acousticness,danceability,energy,valence,tempo,duration_ms
Country,45,0.00192,0.327,0.835,0.385,171.795,194107
Soundtrack,25,0.932,0.253,0.0798,0.0487,110.931,102920
Reggae,19,0.0331,0.821,0.737,0.787,137.968,225437
Electronic,29,0.00428,0.745,0.772,0.17,133.113,225400
Comedy,17,0.965,0.502,0.804,0.185,104.576,287973
Children's Music,16,0.715,0.787,0.224,0.657,146.054,133787
Pop,63,0.382,0.62,0.497,0.55,155.908,243040
Hip-Hop,51,0.0298,0.929,0.61,0.868,136.081,299733
Country,41,0.0709,0.57,0.715,0.831,148.032,161040
Soul,65,0.0216,0.709,0.669,0.106,105.004,343800
Comedy,18,0.66,0.648,0.414,0.524,88.283,72800
Ska,19,0.167,0.529,0.643,0.664,96.536,450093
Anime,27,0.938,0.543,0.339,0.367,110.981,258100
R&B,20,0.175,0.807,0.594,0.83,130.086,185173
Ska,27,0.8,0.631,0.66,0.614,97.159,127227
Soul,47,0.349,0.429,0.273,0.112,110.161,269975
Opera,10,0.963,0.249,0.257,0.115,79.599,284173
Reggae,65,0.00499,0.939,0.642,0.967,134.709,207773
Dance,0,0.121,0.674,0.531,0.17,129.939,217743
Rock,51,0.00303,0.498,0.844,0.469,103.97,205937
Ska,21,0.145,0.873,0.391,0.982,119.628,191533
Reggae,0,0.134,0.81,0.44,0.706,142.543,261787
Soundtrack,35,0.949,0.236,0.117,0.071,70.196,163853
Soundtrack,31,0.987,0.34,0.134,0.198,81.047,153813
Folk,53,0.346,0.719,0.739,0.603,115.142,266008
Anime,29,0.00305,0.523,0.96,0.675,117.168,268160
Ska,19,4.58e-06,0.307,0.978,0.81,143.482,169053
Rock,55,0.00025,0.295,0.883,0.118,74.483,289200
Reggae,33,0.0341,0.553,0.733,0.281,124.185,207835
Pop,64,0.000494,0.435,0.95,0.457,160.987,207634
Country,38,0.156,0.503,0.614,0.493,108.631,293387
Children’s Music,46,0.944,0.738,0.308,0.531,124.979,210667
Alternative,50,0.427,0.489,0.506,0.431,95.528,413587
Soul,35,0.00404,0.66,0.806,0.75,99.987,216307
Rap,68,0.00158,0.737,0.737,0.5,134.066,148560
Children's Music,0,0.0729,0.701,0.739,0.687,120.004,274267
R&B,44,0.506,0.737,0.259,0.42,149.106,90187
World,30,0.0996,0.367,0.496,0.197,76.069,291627
Electronic,61,0.235,0.474,0.731,0.0876,135.056,341476
